	cancer	sample	D_APOBEC_inRloops	D_APOBEC_outsideRloops
0	BLCA	0c7aca3f-e006-4de3-afc2-20b4f727d4fd	1.253677749021013e-05	1.5189677775672961e-05
1	BLCA	2b142863-b963-4cc9-8f8f-c72503c93390	4.7204204446706686e-05	4.3909253940880255e-05
2	BLCA	301d6ce3-4099-4c1d-8e50-c04b7ce91450	5.7386657525609754e-05	6.03602442103517e-05
3	BLCA	418a3dec-96ff-4719-becb-e1a8260cce2f	2.213064946628643e-05	1.5684016401508472e-05
4	BLCA	448fe471-3f4e-4dc8-a4e0-6f147dc93abe	7.251319186825765e-05	7.32160444737467e-05
5	BLCA	45a7949d-e63f-4956-866c-df51257032de	3.3313690419995e-05	3.827079761468371e-05
6	BLCA	4838b5a9-968c-4178-bffb-3fafe1f6dc09	7.298405675051907e-06	9.272594224005486e-06
7	BLCA	7d2a22eb-7344-4cba-ad7d-94c3f9ef3d7c	1.94231763932833e-05	1.8925679390320727e-05
8	BLCA	804ffa2e-158b-447d-945c-707684134c87	5.885811028267667e-06	8.107153463702374e-06
9	BLCA	8c619cbc-9e91-4716-9711-5236e55d8f46	1.730428442310694e-05	1.5725960284912697e-05
10	BLCA	91f458e6-64b7-454d-a542-b0aa23638fd8	1.6539128989432144e-05	1.0482974859384554e-05
11	BLCA	94108975-b7a0-40ba-ad39-e44cc62e8cc0	7.074744855977735e-05	7.061851969435649e-05
12	BLCA	973d0577-8ca4-44a1-817f-1d3c1bada151	7.59269622646529e-06	1.1986962678593198e-05
13	BLCA	abd2d959-d5ed-4eb3-9759-67eb1aa23325	1.4891101901517198e-05	1.793999813032144e-05
14	BLCA	acc629cb-ad03-4cec-9b21-922e4932ef3e	2.6427291516921825e-05	2.720660037098346e-05
15	BLCA	b73523d7-f5a5-4140-8537-4df4d1ecf465	0.00011071210544171481	8.726724541416213e-05
16	BLCA	c66c92d5-df65-46e6-861d-d8a98808e6a3	1.5303108673495935e-06	1.8754907865032097e-06
17	BLCA	cda1a403-16b6-487c-a82a-c377d1d0f89d	9.523242243737085e-05	8.488243604346475e-05
18	BLCA	d4615ca0-b5c7-4a5c-8593-bd50034a78ae	1.094760851257786e-05	1.4949998441934531e-05
19	BLCA	df8a913c-5160-4fc5-950d-7c890e24e820	5.002939374027517e-05	5.300508465625365e-05
20	BLCA	e6c78a98-f45b-482b-a551-4f11b8c1ff8b	1.5479683004343965e-05	1.640005841105203e-05
21	BLCA	f389176f-d8f3-45c2-aae4-7378a3d6fc7f	8.29899354985741e-06	8.122133422061025e-06
22	BLCA	ffdd4feb-aca3-4104-b1e8-954d705a6450	1.4596811350103814e-05	9.907744458412324e-06
23	BRCA	01658141-8398-4585-9f0f-8355dd9b0604	4.7027630115858656e-05	4.405306154112332e-05
24	BRCA	0448206f-3ade-4087-b1a9-4fb2d14e1367	5.238371815158224e-06	6.992644561818677e-06
25	BRCA	07b5141f-ac79-439b-883b-b0183bbe7ff5	4.1789258300700435e-06	5.284929308932367e-06
26	BRCA	110b5f05-ded7-45ec-b0f6-a941c92d77dd	7.298405675051907e-06	8.925059190084762e-06
27	BRCA	13c312ec-0add-4758-ab8d-c193e2e08c6d	1.2948784262188866e-06	1.1864127020052252e-06
28	BRCA	13d05f7a-e16a-40ef-9a15-21257da2cf89	1.6480270879149468e-06	1.0456010934338982e-06
29	BRCA	15f90ef0-831b-40a3-98bd-ec226a9e8b26	1.8246014187629767e-06	2.462705154162362e-06
30	BRCA	1bb3a1c7-4d7b-4fb6-b54d-e94cbd0e32aa	4.826365043179487e-06	5.2190174921543e-06
31	BRCA	1c0e384f-7254-4afe-93c0-b3fc6c6a7894	1.0005878748055033e-05	1.5630088551417326e-05
32	BRCA	1eb62abc-7928-405b-84cc-f091ca5347b2	6.768682682507817e-06	9.488305624370072e-06
33	BRCA	207f8a42-5b05-4876-b0ae-ebfaeea27844	1.6480270879149468e-06	2.6933965128856e-06
34	BRCA	2290b078-6a5b-4c83-9dfb-b525bbf14e4e	3.00176362441651e-06	3.813897398112757e-06
35	BRCA	25c76a8f-77c0-4650-bddf-45ed0c10a2e6	2.3543244113070666e-06	2.9750197300282546e-06
36	BRCA	25e4cad7-2403-4992-9cbc-433574673549	1.0005878748055034e-06	1.5459317026128693e-06
37	BRCA	27f87d1e-2c32-4beb-9677-62f7a286673d	1.8246014187629767e-06	3.3195587722772465e-06
38	BRCA	2b000af3-2c9d-4eaa-af3f-8101b7425c37	1.4714527570669167e-06	2.555580895986003e-06
39	BRCA	2c6f1862-bb82-4e7e-9cb3-338bdf022ff4	2.1777500804590367e-06	2.423757262429867e-06
40	BRCA	2da2b745-068d-408c-9163-3b3a78d4aaed	8.828716542401501e-07	1.111512910211966e-06
41	BRCA	30dbe353-86d5-40ed-84c2-dbddf7beb17b	5.2972299254409e-07	6.081863093612645e-07
42	BRCA	3585e133-b3c1-4d90-b5f2-2b867e0ae0ec	2.530898742155097e-06	4.07754466522503e-06
43	BRCA	36d1a85e-a09b-4537-86e0-eaf1eb03aed8	3.17833795526454e-06	3.364498647353202e-06
44	BRCA	418e916b-7a4e-4fab-8616-15dcec4d79f8	5.5915204768542835e-06	5.338857159023514e-06
45	BRCA	41f140b8-72b9-4ae3-8b25-6144d9f94d0f	6.53325024137711e-06	7.699698596347043e-06
46	BRCA	43f7a2e0-fec9-4e43-872d-18c6c946fa17	1.5303108673495935e-06	2.1810819370197073e-06
47	BRCA	467ef778-f481-44f3-9768-b9900252d2ba	2.2366081907417135e-06	2.912103904921917e-06
48	BRCA	47312f61-5ef4-4f25-9320-8fbb4758790e	3.4137703963952468e-06	4.8025746497837785e-06
