	cancer	sample	transposon_class	N_motifs_inTE	N_motifs_outsideTE	N_mutated_motifs_inTE	N_mutated_motifs_outsideTE	D_APOBEC_in	D_APOBEC_outside
0	BLCA	0c7aca3f-e006-4de3-afc2-20b4f727d4fd	DNA_transposons	11364604	339404707	178	5105	1.566266629263985e-05	1.5041040665355298e-05
1	BLCA	0c7aca3f-e006-4de3-afc2-20b4f727d4fd	LINE	74087089	276682222	1139	4144	1.5373798800490055e-05	1.4977471158230036e-05
2	BLCA	0c7aca3f-e006-4de3-afc2-20b4f727d4fd	LTR	31965907	318803404	509	4774	1.592321469245343e-05	1.4974746003653085e-05
3	BLCA	0c7aca3f-e006-4de3-afc2-20b4f727d4fd	RC_transposons	49644	350719667	2	5281	4.028684231729917e-05	1.5057610099749553e-05
4	BLCA	0c7aca3f-e006-4de3-afc2-20b4f727d4fd	SINE	45502579	305266732	690	4593	1.5163975650698832e-05	1.5045858321698808e-05
5	BLCA	0c7aca3f-e006-4de3-afc2-20b4f727d4fd	SVA	513537	350255774	6	5277	1.1683676151864423e-05	1.5066132785579718e-05
6	BLCA	2b142863-b963-4cc9-8f8f-c72503c93390	DNA_transposons	11364604	339404707	698	20039	6.141877006889109e-05	5.9041608989824646e-05
7	BLCA	2b142863-b963-4cc9-8f8f-c72503c93390	LINE	74087089	276682222	4370	16367	5.898463631092322e-05	5.915450541668702e-05
8	BLCA	2b142863-b963-4cc9-8f8f-c72503c93390	LTR	31965907	318803404	1892	18845	5.918805932833378e-05	5.911166494320117e-05
9	BLCA	2b142863-b963-4cc9-8f8f-c72503c93390	RC_transposons	49644	350719667	3	20734	6.043026347594876e-05	5.9118441167999856e-05
10	BLCA	2b142863-b963-4cc9-8f8f-c72503c93390	SINE	45502579	305266732	2864	17873	6.294148733855283e-05	5.854879725315106e-05
11	BLCA	2b142863-b963-4cc9-8f8f-c72503c93390	SVA	513537	350255774	29	20708	5.6471101400678044e-05	5.912250856998006e-05
12	BLCA	301d6ce3-4099-4c1d-8e50-c04b7ce91450	DNA_transposons	11364604	339404707	1403	40452	0.00012345348768861634	0.00011918514730557347
13	BLCA	301d6ce3-4099-4c1d-8e50-c04b7ce91450	LINE	74087089	276682222	8858	32997	0.00011956199277852583	0.00011925955979925592
14	BLCA	301d6ce3-4099-4c1d-8e50-c04b7ce91450	LTR	31965907	318803404	3791	38064	0.00011859510196285061	0.00011939646667009866
15	BLCA	301d6ce3-4099-4c1d-8e50-c04b7ce91450	RC_transposons	49644	350719667	7	41848	0.0001410039481105471	0.00011932036876620323
16	BLCA	301d6ce3-4099-4c1d-8e50-c04b7ce91450	SINE	45502579	305266732	5821	36034	0.0001279268148735042	0.00011804103173614083
17	BLCA	301d6ce3-4099-4c1d-8e50-c04b7ce91450	SVA	513537	350255774	51	41804	9.931124729084759e-05	0.00011935277903512877
18	BLCA	418a3dec-96ff-4719-becb-e1a8260cce2f	DNA_transposons	11364604	339404707	1595	45867	0.00014034804908292448	0.00013513955185070548
19	BLCA	418a3dec-96ff-4719-becb-e1a8260cce2f	LINE	74087089	276682222	10019	37443	0.00013523273940483746	0.0001353285358536697
20	BLCA	418a3dec-96ff-4719-becb-e1a8260cce2f	LTR	31965907	318803404	4299	43163	0.00013448703332584932	0.00013539064971840765
21	BLCA	418a3dec-96ff-4719-becb-e1a8260cce2f	RC_transposons	49644	350719667	8	47454	0.00016114736926919668	0.00013530464489178477
